Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€129000,Avenue Paul pastur 380,2,F,471,No,0,0,655,21,3,0,0,0,1,0,0,1,Not installed,Gas,10643248,6031
€168000,Avenue Paul pastur 380,2,G,556,No,0,11,1270,16,3,1920,0,0,1,0,0,2,Semi equipped,Fuel oil,10643247,6470
€178000,Avenue Paul pastur 380,2,F,453,No,0,25,260,42,2,1950,0,0,1,1,0,2,Installed,Fuel oil,10643246,6200
€118000,Avenue Paul pastur 380,2,B,111,No,0,6,0,36,2,1970,0,0,1,0,0,1,Hyper equipped,Gas,10643243,6001
€445000,Kempische Steenweg 398,2,D,306,No,Yes,0,1446,0,4,0,Good,0,2,0,Yes,0,0,Fuel oil,10643242,2230
€400000,Avenue Vesale 29,4,F,575,No,0,0,512,32,4,1976,0,0,1,1,0,1,Installed,Gas,10643240,1933
€400000,Avenue Vesale 29,4,F,575,No,0,0,512,32,4,1976,0,0,1,1,0,1,Installed,Gas,10643239,1930
€).,Rue Leopold 251,4,D,262,0,0,30,633,0,3,0,As new,0,1,0,0,3,Installed,Fuel oil,10643236,6060
€335000,Rue de Malvoisin 38,3,Not specified,Not specified,0,0,0,728,41,4,2023,As new,0,1,0,0,2,Installed,Gas,10643235,4560
€,Place Brugmann 10B,3,E,213,No,0,3,0,45,2,1937,To be done up,0,1,0,0,2,Hyper equipped,Fuel oil,10643233,1180
€299000,Langevelddreef 60,2,B,173,No,Yes,0,451,0,0,0,As new,0,1,0,No,1,Installed,Gas,10643226,9230
€299000,Langevelddreef 60,2,B,173,No,Yes,0,451,0,0,0,As new,0,1,0,No,1,Installed,Gas,10643225,9230
€285000,Koning Ridderdijk 11,1,D,344,0,Yes,0,0,0,0,1981,As new,0,1,0,No,1,Installed,Electric,10643223,8620
€380000,Alphonse Claeys-Bouüaertlaan 57/001,3,F,541,No,0,0,228,18,0,1960,To be done up,0,0,0,Yes,0,Semi equipped,Gas,10643222,9030
€295000,Avenue Général Mellier 20,1,G,152075,0,0,0,418,0,0,0,To be done up,0,1,0,Yes,2,Hyper equipped,Fuel oil,10643216,5150
€362902,Merksplassesteenweg 18,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10643209,2480
€459000,Houtmarkt 9,0,F,1783,No,0,0,1199,0,4,1941,To renovate,0,0,0,0,0,0,Wood,10526917,8630
€1125000,Lippenslaan 201,3,B,124,0,Yes,0,0,0,2,1986,0,0,2,1,No,1,USA hyper equipped,Gas,10643205,8300
€895000,Lippenslaan 201,2,B,146,0,0,0,0,0,4,1982,As new,0,2,2,No,1,Installed,Gas,10643204,8300
€1375000,Zeedijk-Het Zoute 819,2,B,105,0,Yes,0,0,0,0,1966,As new,0,1,0,No,0,USA hyper equipped,Gas,10643203,8300
€210000,Koning Albertlaan 6,1,A,58,0,Yes,0,0,0,0,2014,Good,0,1,0,No,1,0,0,10643201,3630
€349000,"Leopold II Laan, 6",2,C,234,0,0,6,0,0,0,1980,Good,0,1,0,No,1,0,Electric,10565279,8420
€295000,R. Orlentpromenade 13/00.01,2,B,107,No,Yes,0,0,0,0,1964,As new,0,1,0,No,1,Installed,Gas,8660,20
€350000,Vredestraat 45,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10643197,8790
€332000,Vredestraat 45,3,Not specified,Not specified,0,0,0,149,0,4,2023,Good,0,0,0,No,0,0,0,10643196,8573
€1200,Smetlede-Dorp 6,3,B,181,0,0,0,0,0,2,1968,Good,0,1,0,No,2,0,Gas,10643193,9000
€225000,Smetlede-Dorp 6,2,B,119,0,Yes,0,0,0,0,0,0,0,1,0,No,1,0,Gas,10643192,9340
€269000,Ruggeveldbaan 751,3,E,486,No,0,0,68,0,2,1957,To be done up,0,1,0,0,0,0,Gas,10643191,2060
€295000,Avenue du Gouverneur Bovesse 1,3,E,421,No,0,0,501,30,4,0,As new,0,1,0,0,1,Installed,0,10643189,5020
€330000,Hendrik Serruyslaan 14A/000,3,C,234,0,Yes,0,0,0,0,1970,To renovate,0,1,0,No,1,0,Fuel oil,10643181,8400
€299000,Kasteeldreef 15,3,F,543,No,0,0,314,22,3,1975,Good,0,1,0,0,0,0,Electric,10643179,9130
€525000,Anzegemsesteenweg 33,5,D,382,0,0,0,1137,55,0,1991,0,0,1,0,No,1,Installed,Electric,10643178,9770
€139000,Rue de Herve 70,3,F,500,Yes,0,0,45,26,2,0,Good,0,1,1,0,1,Installed,Electric,10643174,4100
€237000,"Ninoofsesteenweg, 255",2,E,498,No,0,0,358,14,2,1958,To renovate,0,1,0,0,0,0,Gas,10643170,1740
€2295000,Zeedijk 673,3,C,231,0,Yes,0,272,0,0,1955,0,0,2,0,No,0,0,0,10643168,8300
€,Kolonel Dusartplein 21,3,Not specified,Not specified,No,Yes,0,0,0,0,2024,0,0,1,0,No,1,Installed,Gas,10643165,3720
€,Kolonel Dusartplein 21,3,Not specified,Not specified,No,Yes,0,0,0,0,2024,0,0,2,0,No,1,Installed,Gas,10643164,3720
€289000,Stationsstraat 41,3,Not specified,Not specified,No,Yes,0,185,0,0,2023,0,0,2,0,No,0,Installed,0,03177,20
€,Pathoekeweg 120 B 10.1,4,Not specified,Not specified,0,Yes,0,327,0,0,0,0,0,1,0,No,2,0,0,10643156,8377
€199500,Rue de la Déportation 81,2,G,422,No,0,6,0,36,3,0,To be done up,0,1,0,No,1,Installed,Fuel oil,10643153,1080
€425000,Rue de la Déportation 81,5,D,256,No,0,32,260,40,2,0,As new,0,2,0,Yes,2,Hyper equipped,Fuel oil,10643152,7090
€159000,Oudstrijderslaan 17,3,C,247,0,0,0,0,0,0,0,As new,0,2,0,No,0,0,0,10643151,9600
€175000,"Leopold II laan, 102",2,D,340,No,0,0,103,0,0,0,Good,0,1,0,No,1,0,0,10643150,8630
€475000,Brugsesteenweg 30,3,A,32,0,0,0,295,0,0,2022,As new,0,1,0,No,2,0,Gas,10643149,8530
€,Diepestraat 22,3,Not specified,Not specified,No,0,2,0,18,0,1993,To be done up,0,1,0,Yes,1,0,0,10643145,1090
€299000,Rue de Faubourg 57A,3,D,280,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,10643144,7780
€329500,Dorp 32 A,3,F,756,0,0,0,861,0,0,0,0,0,1,0,No,0,0,0,10643141,9890
€349000,Boelare 67,5,B,181,No,0,75,433,0,2,1963,Good,0,1,0,0,0,0,Gas,10643136,9900
€345000,Chaussée de Liège 76,4,C,175,No,0,0,767,0,4,0,Good,0,1,0,Yes,0,0,Fuel oil,10643135,6792
€289000,De Schiervellaan 13,2,C,256,0,0,0,536,0,3,1948,Good,0,2,0,0,2,Installed,Gas,10643130,3580
€1600000,Rue de la Déportation 81,12,B,109,No,0,60,750,0,3,2017,As new,0,8,0,Yes,10,Installed,Gas,10559275,1600
€320000,Rue de la Déportation 81,4,G,534,No,0,24,545,35,4,0,Good,0,1,1,No,2,Hyper equipped,Fuel oil,10643127,1480
€795000,Leopold 2 laan 83a,3,B,123,0,0,30,496,0,4,0,Just renovated,0,1,0,0,2,Installed,Gas,10643123,8670
€199000,"Broekhofstraat, 1",3,F,675,No,0,0,435,32,3,1964,0,0,1,0,No,1,Installed,0,10643121,3650
€275000,Langestraat 62,3,F,647,No,0,0,1000,38,4,1900,To renovate,0,1,0,No,1,0,0,10316791,8690
€399000,Donk 62,2,F,924,No,0,0,1053,34,0,1987,0,0,1,0,No,1,0,0,10643118,2560
€419000,Donk 62,4,B,195,No,0,1,155,24,0,0,Good,0,2,0,Yes,3,0,0,10643117,2530
