Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€375000,Rue Albert Ier 105,4,D,340,0,0,46,1343,34,0,0,0,0,1,1,0,2,Installed,Fuel oil,10667369,4260
€375000,Rue Albert Ier 105,4,D,340,0,0,46,1343,34,0,0,0,0,1,1,0,2,Installed,Fuel oil,10667368,4280
€305837,Posterijstraat 61,2,Not specified,Not specified,0,Yes,0,0,0,0,2022,Good,0,0,0,No,0,0,0,10536020,8792
€770/maand.,Posterijstraat 61,2,Not specified,Not specified,0,Yes,0,0,0,0,2022,Good,0,0,0,No,0,0,0,10536019,8792
€423464,Posterijstraat 61,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108799,8710
€245000,"Abeelplein, 15",2,D,380,0,0,6,0,0,2,0,Good,0,1,0,0,1,Installed,Gas,10667360,3840
€699000,Route du Condroz 94,5,G,595,0,0,0,6250,0,4,1870,0,0,1,2,0,3,0,Electric,10665501,5300
€499000,Route du Condroz 94,5,G,595,0,0,0,2950,0,4,1870,0,0,1,2,0,3,0,Electric,10665500,5300
€925000,rue du Moulin 4,4,C,180,0,Yes,0,1350,50,4,2008,As new,0,2,2,Yes,3,Hyper equipped,Gas,10667359,1470
€324000,Tervuursevest 11,2,B,141,0,0,0,0,0,0,1995,Good,0,1,0,No,1,0,Gas,10667358,3010
€338000,Sint-Pietersnieuwstraat 158,1,Not specified,Not specified,0,0,0,0,0,0,2020,Good,0,1,0,No,1,0,0,10667357,9000
€274000,Rue de l'Infante 123 Bt 1,2,E,219,0,0,9,0,37,2,1988,Just renovated,0,1,0,0,1,Installed,Gas,10667355,1080
€345000,Rue Des Carmélites 88,2,Not specified,Not specified,No,0,5,0,31,2,1960,0,0,1,0,0,2,Installed,Gas,10667354,1180
€519000,Hoek 29,3,C,210,0,0,0,614,50,4,1977,Good,0,1,0,No,3,0,Gas,10667352,2310
€225000,Grote Markt 21,3,E,484,0,0,0,55,25,2,0,Good,0,1,0,0,1,Installed,Gas,10667339,2850
€239000,Av. Houba de Strooper 618,3,Not specified,Not specified,No,0,3,0,33,3,1959,0,0,1,0,0,1,Installed,Fuel oil,10667336,1020
€259000,Av. Houba de Strooper 618,3,Not specified,Not specified,No,0,26,0,31,3,1976,0,0,1,0,0,2,Installed,Gas,10667335,1020
